text,created_at,name
"RT @s_adhiti: Wishing All A Very Happy #ChotiDiwali 💖💫✨⚡ 
 
#छोटीदिवाली 💥 #Diwali

#Sarun #ipkknd #Arhi
#BarunSobti #SanayaIrani #IssPyaarK…",2018-11-06 12:22:19,Gizem Taş
#hotstar #KoffeeWithAamir  pl send me the link,2018-11-06 12:02:06,Tina Shah Varma
"Wishing All A Very Happy #ChotiDiwali 💖💫✨⚡ 
 
#छोटीदिवाली 💥 #Diwali

#Sarun #ipkknd #Arhi
#BarunSobti #SanayaIrani… https://t.co/4QuCdbYoTS",2018-11-06 11:54:19,Adhiti ❤ ArshiSarun
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-06 11:09:17,Sravya_Maheshian 😍
Feeling very happy because one of my favorite show #KoffeeWithKaranSeason6 is back and watch it next day on Monday… https://t.co/v8H16kz5O8,2018-11-06 10:42:31,Jaineil Ajmera
"കൗസ്തുഭത്തിലെത്തിയ പ്രകാശനെ തിരിച്ചയക്കാൻ ശ്രമിക്കുന്ന ആദി. നീലക്കുയിൽ - ഇന്ന് രാത്രി 7:30നു ഏഷ്യാനെറ്റിൽ  
Neelakk… https://t.co/jigFoR3GAF",2018-11-06 10:30:20,Asianet
"കസ്തൂരിമാൻ - ഇന്ന് രാത്രി 8:30നു ഏഷ്യാനെറ്റിൽ.
Kasthooriman || Serial || Today at 8:30 PM || Asianet 
#Kasthooriman… https://t.co/Fo1HRdq3Yh",2018-11-06 09:30:06,Asianet
കുഞ്ഞിനെ ഗായത്രിക്ക് മാത്രമായി വിട്ടുകൊടുക്കാൻ ബാല തയ്യാറാകുമോ? കറുത്തമുത്ത് - ഇന്ന് രാത്രി 8 മണിക്ക് ഏഷ്യാനെറ്റിൽ.… https://t.co/bnrsmY6h4u,2018-11-06 07:30:23,Asianet
"ഭാര്യ - ഇന്ന് വൈകുന്നേരം 6:30നു ഏഷ്യാനെറ്റിൽ.
Bharya || Serial || Today at 6:30 PM || Asianet 
#Bharya #Hotstar… https://t.co/aTHENNokIO",2018-11-06 06:30:35,Asianet
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-06 06:02:19,Fairy Tale (Almas)
"വാനമ്പാടി അപ്രതീക്ഷിതമായ വഴിത്തിരിവിലേക്ക്. ഇന്ന് രാത്രി 7 മണിക്ക് ഏഷ്യാനെറ്റിൽ.
Vanambadi || Serial || Today at 7… https://t.co/L7yz8PBR0E",2018-11-06 05:30:04,Asianet
@AthulyaOfficial Advance Happy Diwali #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya… https://t.co/7w0B9fOoTN,2018-11-06 04:27:15,Athulya ravi's slaves
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-06 02:18:22,Karuna Jambhulkar
RT @Mirabell0: Hey friends! A quick question about hotstar subscription the US. Are IPKKND and Mahabharat available with this subscription?…,2018-11-05 21:28:42,Mirabell
Hey friends! A quick question about hotstar subscription the US. Are IPKKND and Mahabharat available with this subs… https://t.co/dyJXU8MJoz,2018-11-05 19:29:14,Mirabell
@IndSuperLeague @hotstartweets @StarFootball ecstatic to see more than 60 K is watching #Indiansuperleague on #Hotstar  ... Great,2018-11-05 19:07:50,Soumen Bera
"RT @sudiparannaghor: Was watching #KoffeeWithKaran on #Hotstar tonite,but a strange thing happened. Whenever @karanjohar is saying “Ok! Goo…",2018-11-05 18:24:48,Dhrubajyoti
"RT @sudiparannaghor: Was watching #KoffeeWithKaran on #Hotstar tonite,but a strange thing happened. Whenever @karanjohar is saying “Ok! Goo…",2018-11-05 17:51:39,Pinaki Das
RT @Amandee29199387: Heard a lot abt #Ishqbaaaz so finally started watching it from 1st episode on #hotstar loving the fight chemistry b/w…,2018-11-05 17:35:59,Arya Raju
"Was watching #KoffeeWithKaran on #Hotstar tonite,but a strange thing happened. Whenever @karanjohar is saying “Ok!… https://t.co/FZX7qvQVSA",2018-11-05 16:51:07,Sudipa Chatterjee
"#Hotstar Koffee with Karan Season 6 Aamir Khan Full Episode 3 Watch Online Video 4th Nov 2018
#KoffeeWithAamir… https://t.co/8pofSwUxxn",2018-11-05 16:31:38,Dekh News
"எதை செலக்ட் செய்யலாம் ஹாட் ஸ்டாரா அமேசான் ப்ரைம் வீடியோவா 
#hotstar #amazonprimevideo https://t.co/CNaJNL9fFh",2018-11-05 16:11:29,Techy Hunter
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 16:07:01,Cветик Башняк
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 15:27:36,ОЛЬГА ЦАРЕВА
RT @athulyaslaves: Advance Happy Diwali #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya #hot #hotathulya #tamila…,2018-11-05 15:19:24,A T H U L Y A  ravi's S L A V E
RT @athulyaslaves: @AthulyaOfficial Advance Happy Diwali #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya #hot #h…,2018-11-05 15:19:23,A T H U L Y A  ravi's S L A V E
Advance Happy Diwali #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya #hot #hotathulya… https://t.co/F7BbwUfOY1,2018-11-05 15:11:44,Athulya ravi's slaves
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 15:08:02,elena ufimova
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 14:52:53,Karu
"@hotstar_helps 
#Hotstar .....episode is already uploaded #KasautiiZindagiiKay2 #KasautiiZindagiiKay 

But it isn't… https://t.co/T7fm8T00Aj",2018-11-05 13:47:24,♥BeHir'AdiYa'JenShad'Parth♥️😘😍
പത്രസമ്മേളനത്തിനൊരുങ്ങി സീതയും സ്വാതിയും. നിർണായകനിമിഷങ്ങളിലൂടെ സീതാ കല്യാണം - ഇന്ന് രാത്രി 9 മണിക്ക് ഏഷ്യാനെറ്റിൽ.… https://t.co/1cavBB3Z6f,2018-11-05 12:30:11,Asianet
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 12:11:56,Rupam Sinha ❤️ Sarun 🇮🇳🇮🇳
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 12:09:10,Olga
RT @Amandee29199387: Heard a lot abt #Ishqbaaaz so finally started watching it from 1st episode on #hotstar loving the fight chemistry b/w…,2018-11-05 11:45:31,Parul~ ITA2018 🌸💞
"Ishita tortured by police , Raman angry young man avatar in Yeh Hai Mohabbatein https://t.co/K4cKbBX2ro #hotstar",2018-11-05 10:54:59,Telly Focus
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 10:30:24,Vindhya Sree
നിരപരാധിയായ കസ്തൂരിയെ കുറ്റംചാർത്തി കൗസ്തുഭത്തിൽ നിന്നും പുറത്താക്കുന്നു. നീലക്കുയിൽ - ഇന്ന് രാത്രി 7:30നു ഏഷ്യാനെ… https://t.co/27b6SAtQGR,2018-11-05 10:30:20,Asianet
RT @Amandee29199387: Heard a lot abt #Ishqbaaaz so finally started watching it from 1st episode on #hotstar loving the fight chemistry b/w…,2018-11-05 10:22:43,Jyotsana||Shivika||Avta||Ita2K18💚Ek-Liner✋
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 10:22:33,arnavbarunpr
RT @Amandee29199387: Heard a lot abt #Ishqbaaaz so finally started watching it from 1st episode on #hotstar loving the fight chemistry b/w…,2018-11-05 10:13:42,🅰liSh🅰 💁(TOXIC)
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 10:11:43,Lyubov
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 10:04:26,Arshisarunmumbaifan
RT @Amandee29199387: Heard a lot abt #Ishqbaaaz so finally started watching it from 1st episode on #hotstar loving the fight chemistry b/w…,2018-11-05 10:04:11,myfavshivika
"RT @s_adhiti: Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

Enjoy #Arhi…",2018-11-05 09:59:21,Gizem Taş
"Heartiest Greetings to all on this Auspicious Occasion of #Dhanteras #धनतेरस🙏✨💖

#Arshi #Sarun #ipkknd #RabbaVe

En… https://t.co/Aur2p52Jvu",2018-11-05 09:51:41,Adhiti ❤ ArshiSarun
